Date,Open,High,Low,Close,Adj Close,Volume
2/1/2014,18.57,21.48,13.44,14,14,0
3/1/2014,16.469999,18.219999,13.46,13.88,13.88,0
4/1/2014,13.43,17.85,12.6,13.41,13.41,0
5/1/2014,13.64,14.49,11.32,11.4,11.4,0
6/1/2014,11.69,12.89,10.34,11.57,11.57,0
7/1/2014,11.28,17.110001,10.28,16.950001,16.950001,0
8/1/2014,16.67,17.57,11.24,12.09,12.09,0
9/1/2014,12.32,17.08,11.52,16.309999,16.309999,0
10/1/2014,16.440001,31.059999,13.72,14.03,14.03,0
11/1/2014,14.41,15.93,11.91,13.33,13.33,0
12/1/2014,14.16,25.200001,11.53,19.200001,19.200001,0
1/1/2015,17.76,23.43,15.52,20.969999,20.969999,0
2/1/2015,20.889999,22.809999,12.86,13.34,13.34,0
3/1/2015,13.9,17.190001,12.54,15.29,15.29,0
4/1/2015,15.32,16.66,12.12,14.55,14.55,0
5/1/2015,13.98,16.360001,11.82,13.84,13.84,0
6/1/2015,13.92,19.799999,11.93,18.23,18.23,0
7/1/2015,16.629999,20.049999,11.71,12.12,12.12,0
8/1/2015,12.85,53.290001,10.88,28.43,28.43,0
9/1/2015,31.91,33.82,17.870001,24.5,24.5,0
10/1/2015,23.139999,25.23,12.8,15.07,15.07,0
11/1/2015,15.41,20.67,13.67,16.129999,16.129999,0
12/1/2015,15.61,26.809999,14.45,18.209999,18.209999,0
1/1/2016,22.48,32.09,19.25,20.200001,20.200001,0
2/1/2016,21.32,30.9,18.379999,20.549999,20.549999,0
3/1/2016,19.84,20.17,13.06,13.95,13.95,0
4/1/2016,15.23,17.09,12.5,15.7,15.7,0
5/1/2016,16.33,17.65,13.04,14.19,14.19,0
6/1/2016,14.45,26.719999,12.72,15.63,15.63,0
7/1/2016,15.59,17.040001,11.4,11.87,11.87,0
8/1/2016,11.89,14.93,11.02,13.42,13.42,0
9/1/2016,13.07,20.51,11.65,13.29,13.29,0
10/1/2016,13.75,17.950001,12.21,17.059999,17.059999,0
11/1/2016,16.540001,23.01,12.16,13.33,13.33,0
12/1/2016,13.4,14.72,10.93,14.04,14.04,0
1/1/2017,14.07,14.07,10.3,11.99,11.99,0
2/1/2017,11.79,12.96,9.97,12.92,12.92,0
3/1/2017,12.31,15.11,10.6,12.37,12.37,0
