Date,cpu_index,Close_x,Close_y
2014-10-01,54.67273781,14.03,338.321014
2014-11-01,131.020044,13.33,378.046997
2014-12-01,78.02819956,19.200001,320.192993
2015-01-01,103.8572101,20.969999,217.464005
2015-02-01,89.55959068,13.34,254.263
2015-03-01,80.16962581,15.29,244.223999
2015-04-01,104.3895228,14.55,236.145004
2015-05-01,125.8811864,13.84,230.190002
2015-06-01,58.1676658,18.23,263.071991
2015-07-01,52.34319462,12.12,284.649994
2015-08-01,71.64043044,28.43,230.056
2015-09-01,104.818745,24.5,236.059998
2015-10-01,82.56443505,15.07,314.165985
2015-11-01,100.6703263,16.129999,377.321014
2015-12-01,137.3122441,18.209999,430.566986
2016-01-01,91.40321325,20.200001,368.766998
2016-02-01,49.12534465,20.549999,437.696991
2016-03-01,87.95350804,13.95,416.729004
2016-04-01,108.1190625,15.7,448.317993
2016-05-01,99.83579694,14.19,531.385986
2016-06-01,120.3796358,15.63,673.336975
2016-07-01,101.1825344,11.87,624.68103
2016-08-01,77.09684887,13.42,575.471985
2016-09-01,107.3175953,13.29,609.734985
2016-10-01,104.6382294,17.059999,700.971985
2016-11-01,277.9767331,13.33,745.690979
2016-12-01,223.5604902,14.04,963.742981
2017-01-01,249.4481416,11.99,970.403015
2017-02-01,247.5635413,12.92,1179.969971
2017-03-01,208.660623,12.37,1071.790039
2017-04-01,162.8100619,10.82,1347.890015
2017-05-01,188.2838042,10.41,2286.409912
2017-06-01,201.6878786,11.18,2480.840088
2017-07-01,150.6200572,10.26,2875.340088
2017-08-01,125.4631782,10.59,4703.390137
2017-09-01,102.3736787,9.51,4338.709961
2017-10-01,107.9960189,10.18,6468.399902
2017-11-01,150.3878823,11.28,10233.599609
2017-12-01,141.8917263,11.04,14156.400391
2018-01-01,120.6551214,13.54,10221.099609
2018-02-01,117.812332,19.85,10397.900391
2018-03-01,149.7899075,19.969999,6973.529785
2018-04-01,171.0598216,15.93,9240.549805
2018-05-01,175.2114079,15.43,7494.169922
2018-06-01,150.5158108,16.09,6404.0
2018-07-01,196.5221071,12.83,7780.439941
2018-08-01,143.6970221,12.86,7037.580078
2018-09-01,79.47310311,12.12,6625.560059
2018-10-01,103.7215692,21.23,6317.609863
2018-11-01,156.1780515,18.07,4017.268555
2018-12-01,154.8508354,25.42,3742.700439
2019-01-01,211.221614,16.57,3457.792725
2019-02-01,263.6796844,14.78,3854.7854
2019-03-01,165.9910569,13.71,4105.404297
2019-04-01,94.5296649,13.12,5350.726563
2019-05-01,116.1994316,18.709999,8574.501953
2019-06-01,173.196342,15.08,10817.155273
2019-07-01,131.1424573,16.120001,10085.62793
2019-08-01,188.6663965,18.98,9630.664063
2019-09-01,346.612379,16.24,8293.868164
2019-10-01,199.8493538,13.22,9199.584961
2019-11-01,170.0483914,12.62,7569.629883
2019-12-01,242.8845589,13.78,7193.599121
2020-01-01,209.3470847,18.84,9350.529297
2020-02-01,205.0062418,40.110001,8599.508789
2020-03-01,276.603415,53.540001,6438.644531
2020-04-01,245.285638,34.150002,8658.553711
2020-05-01,221.9758722,27.51,9461.058594
2020-06-01,138.3028987,30.43,9137.993164
2020-07-01,133.1777329,24.459999,11323.466797
2020-08-01,202.7847937,26.41,11680.820313
2020-09-01,184.3543472,26.370001,10784.491211
2020-10-01,272.16406,38.02,13780.995117
2020-11-01,234.7634116,20.57,19625.835938
2020-12-01,299.8446191,22.75,29001.720703
2021-01-01,180.8233972,33.09,33114.359375
2021-02-01,207.0713994,27.950001,45137.769531
2021-03-01,145.2818833,19.4,58918.832031
2021-04-01,103.877858,18.610001,57750.175781
2021-05-01,167.901495,16.76,37332.855469
2021-06-01,176.7582079,15.83,35040.835938
2021-07-01,244.3479261,18.24,41626.195313
2021-08-01,95.08021794,16.48,47166.6875
2021-09-01,326.1647915,23.139999,43790.894531
2021-10-01,259.7489046,16.26,61318.957031
2021-11-01,411.2888056,27.190001,57005.425781
2021-12-01,266.2633128,17.219999,46306.445313
2022-01-01,209.0009394,24.83,38483.125
2022-02-01,221.277325,30.15,43193.234375
2022-03-01,229.6155689,20.559999,45538.675781
2022-04-01,225.9682532,33.400002,37714.875
2022-05-01,235.5590969,26.190001,31792.310547
2022-06-01,189.2958277,28.709999,19784.726563
2022-07-01,336.7758492,21.33,23336.896484
2022-08-01,255.6456167,25.870001,20049.763672
2022-09-01,178.5962387,31.620001,19431.789063
2022-10-01,204.4393112,25.879999,20495.773438
2022-11-01,220.3033416,20.58,17168.566406
2022-12-01,198.4815688,21.67,16547.496094
2023-01-01,213.5660193,19.4,23139.283203
2023-02-01,242.0564097,20.700001,23147.353516
2023-03-01,287.5295264,18.700001,28478.484375
2023-04-01,226.2019158,15.78,29268.806641
2023-05-01,227.9405454,17.950001,27219.658203
